,Title,Summary,Link,Time,Source,Address,State,Zip
280,Immigrant's attorneys want charges dropped after Nassau deputy's death,"NASSAU COUNTY, Fla. - Attorneys for an illegal immigrant who was running from a Nassau County deputy when the deputy was hit and killed while crossing a busy road have asked a judge to dismiss criminal charges that stemmed from the deputy's death.

Investigators said Deputy Eric Oliver was hit and killed by a car in 2016 while chasing Francisco Portillo-Fuentes across A1A in Yulee. Lawyers for Portillo-Fuentes are asking a judge to dismiss their client's charges of felony murder and aggravated manslaughter.

Defense attorneys have zeroed in on three concerns in the hopes of getting the case dropped. They claim that a federal agent involved in the case lied, that Oliver flouted traffic laws and that the driver who struck Oliver was driving carelessly.

In the motion, attorneys wrote: ""A series of unfortunate events and the State is now attempting to blame Mr. Fuentes for those misfortunes by prosecuting him.""

According to the defense, a U.S. Customs and Border Protection agent escalated a benign situation into a dangerous one, and ""fabricated testimony"" to the grand jury that returned the indictment. The agent said he noticed the men acting nervously when they spotted the deputies, and that's when the agent approached them, asking deputies to back him up.

The defense claims surveillance video from an adjacent car wash shows that Oliver and another deputy were not at the Gate gas station when the agent said they were. The agent went to the pickup truck and three of the men admitted they were illegal immigrants.

The agent started to handcuff three of them, and that's when Portillo-Fuentes ran, according to defense attorneys. Oliver and another deputy started chasing Portillo-Fuentes, and Oliver was killed when he ran into traffic on A1A.

Defense lawyers claim neither Oliver nor the federal agent knew Portillo-Fuentes, and that the agent admitted in his deposition the men at the Gate weren't doing anything wrong. Portillo-Fuentes told prosecutors he knew he was going to be arrested, which they contend made him a fleeing felon.

The motion argued that ""the agent fabricated his rationale for detaining and interrogating the subjects."" It said the agent lied multiple times and that Portillo-Fuentes could only be detained for an immigration check. It said he had not committed any crimes and was not going to be arrested.

The filing also raised concerns about Oliver's own actions, saying he ""lagged behind in his unjustified pursuit of Mr. Fuentes, did not see oncoming traffic and was found to be the cause of the accident.""

As for the woman driving the SUV that hit Oliver, the motion said, ""She was drinking tea at the time and was putting it back in the cup holder … She admitted that she may have glanced down for a moment to make sure she did not spill her tea.""

It continued, ""She did not see what she hit.""

Rick Sitka, Portillo-Fuentes' attorney, said he feels the arguments will hold up in court.

""The case law we cited supports that fact, and it's up to the judge to decide,"" he said. ""That is all i can comment at this time.""

Oliver's father did not wish to make a comment. News4Jax did not immediately receive a response from Nassau County Sheriff Bill Leeper.

Copyright 2019 by WJXT News4Jax - All rights reserved.",https://www.news4jax.com/news/investigations/immigrants-attorneys-want-charges-dropped-after-nassau-deputys-death,2019-05-09T21:43:08Z,WJXT,"4 Broadcast Pl, Jacksonville, FL 32207, USA",FL,32207
282,DCF launches investigation of person who dumped newborn in dumpster,"Hide Transcript Show Transcript

BOCA. RON? RON: LOOK BEHIND ME. THAT IS THE DUMPSTER WHERE THIS LITTLE GIRL WAS FOUND THIS MORNING B TWO PEOPLE WHO WERE WALKING. THE BABY THANKFULLY HAS BEEN TAKEN TO THE HOSPITAL AND IS EXPECTED TO SURVIVE. THIS HAPPENED AT THE ALISTER APARTMENTS IN WEST BOCA RATON. THOSE TWO PEOPLE HEARD SOUNDS AND CURIOSITY LED TO THE DISCOVERY WHICH MAY HAVE SAVED A LIFE. THE SEARCH FOR A SUSPECT BEGAN IMMEDIATELY. A RESIDENT TOLD ME LAW ENFORCEMENT AUTHORITIES CAME TO HIS APARTMENT AND ASKED IF HE KNEW A PREGNANT FEMALE. A YOUNG WOMAN WHO WAS PUSHING HER ONE-MONTH OLD DAUGHTER IN A STROLLER WHEN WE TALKED TO HER, SAYS SHE WAS VISITED BY INVESTIGATORS AS WELL AND SHOWED THEM RIGHT AWAY WHY SHE WAS NOT THEIR SUSPECT. >> THERE WERE COPS EVERYWHERE. THEY CAME TO MY DOOR THEY THOUGHT IT WAS ME BECAUSE I WAS HOLDING MY BABY. I SAID NO, IT WASN’T. RON: WEST BOCA MEDICAL CENTER IS ONLY 2.5 MILES FROM THIS APARTMENT COMPLEX, AND THERE’S A PALM BEACH COUNTY FIRE RESCUE STATION LESS THAN A MILE AWAY. UNDER FLORIDA’S SAFE HAVEN LAW WHOEVER ABANDONED THIS BAB COULD’VE LEFT HER AT EITHER OF THOSE SAFE PLACES WITHOUT FEAR OF PROSECUTION. IF YOU HAVE ANY INFORMATION, YOU

Advertisement DCF launches investigation of person who dumped newborn in dumpster PBSO: Baby girl found alive at West Boca Raton apartment complex is Hispanic or black. Share Shares Copy Link Copy

The Florida Department of Children and Family Services has launched an investigation after a newborn girl was found alive in a dumpster at a West Boca Raton apartment complex Wednesday morning.On Thursday, DCF said the child is safe in the department’s care. Additional details remain confidential per Florida Statutes and all inquiries need to be directed to the Palm Beach County Sheriff’s Office. The baby was taken to West Boca Medical Center for evaluation and is expected to survive. On Thursday, PBSO said the baby, weighing 6 pounds, 8 ounces, is black or Hispanic. She is ""cute as a button,"" according to an unidentified PBSO lieutenant.Detectives are still actively seeking any information that anyone may have in relation to this case. Anyone with information is urged to contact Crime Stoppers at 1-800-458-TIPS.She was found at Alister Apartments on Boca Entrada Boulevard. Authorities said two people were walking in the area just after 9 a.m. when they heard crying sounds. They discovered the baby inside a dumpster. A resident told WPBF 25 News law enforcement authorities came to his apartment and asked if he knew a pregnant female. Another resident. who was pushing her month-old daughter in a stroller at the complex Wednesday afternoon, said investigators had visited her, and she showed them right away why she was not their suspect.“I opened the door. They saw my baby and I said, 'It’s not me,' ” she said. West Boca Medical Center is just 2 1/2 miles from the apartment complex and there is a Palm Beach County Fire Rescue station less than a mile away. Under Florida’s Safe Haven Law, anyone can leave a baby up to 7 days old, with an employee at any hospital, emergency medical services station or with a firefighter at any fire station in Florida.According to A Safe Haven for Newborns, based in Florida, 302 babies have been saved since the law went into effect. The organization has a national hotline that can be reached at 1-844-767-2229. Its website is asafehavenfornewborns.com. All of the children have been adopted, a spokesman told WPBF-TV.Palm Beach Fire Rescue said 18 newborns have been turned over in Palm Beach County.",https://www.wpbf.com/article/dcf-launches-investigation-of-person-who-dumped-newborn-in-dumpster/27411695,2019-05-09T14:46:00Z,WPBF-TV,"Northcorp Business Park, Palm Beach Gardens, FL 33410, USA",FL,33410
283,Unique Airbnbs you can book in Central Florida,"ORLANDO, Fla. - ​Central Florida is known for being a vacation spot, even if you live in the area.

Whether you're a tourist, or considering a staycation, there's many unique options to choose from when it comes to Airbnb.

We put together a list to help with your next search:

Danville

Located near Lake Harney, this 25 acre property offers a few unique options. You can choose from a small house inside an airplane hangar, a mancave, a luxury yurt, and a treehouse. Depending on where you stay, prices range from $75 a night to $170.

See listing here.



The Little Treehouse

Consider this chique “urban cool meets childhood fancy” option. It’s a separate downtown boutique bungalow in the Country Club of Orlando.

It's located on the second floor of a renovated 1926 carriage house. To stay here, it's around $70 a night. Many guests have reviewed it as a cozy and quiet place to stay.

See listing here.



The Ritz



This Airbnb gives you an opportunity to stay in a tiny home with a view of Lake Fairview in Orange County. The cost is $84 a night, but the owners also have 8 other tiny home options you can choose from. They range from $64 to $89 a night. The owners tell us they got into putting tiny homes on Airbnb to give people a chance to see what they're like, and peak their interest in case they're ever interested in buying one.

See listing here.



Key West Cottage



If you’re looking to plan a relaxing vacation, hundreds of reviews are calling this Airbnb a tranquil place to stay. It's a cozy little cottage with a full kitchen at the back of the main house. It's $93 a night and located 3 miles between Mount Dora, Tavares, and Eustis. The owner says there's 2 cats and 3 dogs on property. You're welcomed to bring your furry friend as well, but you have to let the owner know ahead of time.

See listing here.



Knightsbridge

From $25 to $36 a night, you can rent a room from this medieval castle-themed home located in the Moss Park/Lake Nona area. The owner offers two rooms: ""The Wanderer"" and ""The Manor."" According to his Airbnb listing, ""The Wanderer"" room is inspired by his stay at Bernstein Castle, on the Austrian-Hungarian Border. It offers a reduced rate for a single traveler 'wandering' across Europe. The owner says he adopted the idea to give back to the lone traveler.

See listing here.



Casa de Chloe



Built around 1924, you can rent a one bedroom, one bathroom in this home in downtown Orlando. This property boasts five stars and a hundred reviews. For $57 a night, you could also get the five-star treatment. The host does live on property, but the room offers a private entrance and it's separated from the main house by a locked door. The owner says she inherited the house, along with five cats. Because she and her husband already have two, you'll see the cats on property. She tells guests they live outside in the back sunken Savannah Garden -- and that they have it made.

See listing here.



Small World

You can find this charming mobile home in Kissimmee, and book it for $76 a night. Even though it's a one bedroom, it can actually sleep seven. The loft has two double mattresses. There's a queen bed in the bedroom and a pull-out couch. If this one is booked, the owner also offers two other mobile home properties: The Jubilee Cottage and Shells.

See listing here.



Disney-Inspired Home

You can find this option under “Brand New 5 Bedroom Home Close to Disney.” This luxurious five bedroom, four bathroom townhome is just eight minutes away from Disney World and located at the Storey Lake Resort. It also comes with a private pool. It's a great option for a family or a group of friends planning a Disney vacation. According to the Airbnb listing, the woman who rents the property works for a company that has several listings for more luxurious homes in the Central Florida area.

See listing here.



Beach Cottage

Located in Indialantic, this small cottage is a perfect spot for a couple looking to getaway. It's a studio bedroom that includes a kitchenette and a queen-sized bed. For $70 a night you could stay in this cozy cottage, which is about a two minute walk from the beach. This Airbnb listing has more than 100 5-star reviews, with many people saying they had a relaxing vacation here.

See listing here.

Copyright 2019 by WKMG ClickOrlando - All rights reserved.",https://www.clickorlando.com/news/unique-airbnbs-you-can-book-in-central-florida,2019-05-09T09:31:20Z,WKMG,"4466 N John Young Pkwy, Orlando, FL 32804, USA",FL,32804
284,More services for teens among crime task force's recommendations,"<p>The Jacksonville Task Force on Safety and Crime Reduction has delivered its first preliminary report outlining its recommendations to the City Council.</p><p>News4Jax <a href=""https://www.news4jax.com/news/local/jacksonville/city-leaders-want-violent-crime-panel-to-be-eyes-and-ears-of-community"">reported last year that the Jacksonville City Council formed the task force</a> to help cut down on crime across the city. On Wednesday, News4Jax got an inside look at its findings, which included the recommendation of more services for teens.</p><p>Residents said it's no doubt Jacksonville has its share of crime across the city. Westside resident Eugene King said on a scale of one to 10, the crime is ""roughly between an eight or nine.""</p><p>He and others said they are hoping for change.</p><p>""It's very dangerous,"" said a woman who didn't want to be identified. ""It doesn't matter where you are in Jacksonville.""</p><p>But Pastor Mark Griffin, chair of the Jacksonville Task Force on Safety and Crime Reduction, said <a href=""https://www.news4jax.com/community/city-council-president-recommends-members-for-safety-task-force"">members of the panel</a> have logged nearly 800 hours to put a stop to crime. While their recommendations are in the draft phase, he said they realized there's a gap in services provided to teenagers that must be addressed.</p><p>Griffin said their report also recommends a new comprehensive approach for mentoring across the community.</p><p>""The real focus of the task force is to really try to identify what are the common factors, common denominators with crime and violence in our city,"" Griffin said.</p><p>The task force will create a computerized database that will house the demographics of the victims of crime and the perpetrators to figure out where resources are needed the most. </p><p>""Whatever the data tells us is where we're going to try as a task force or commission influence our city government to redirect funding and other resources,"" Griffin said.</p><p>The unnamed woman said it's unsafe to let their children play outside.</p><p>""They can't even go outside and play in their own backyard without seeing a car come through and then police come through,"" she said.</p><p>Griffin said the task force will be the solution.</p><p>""I feel like bringing this to community, they'll start seeing some positive things will happen,"" King said.</p><p>Griffin said they're hoping this task force will turn into a long-term commission and the next steps will be to meet with the City Council to move forward with implementation of the panel's recommendations. </p><p>Griffin added they're hoping the task force will be a model for other urban areas to show how to best deploy resources where crime is happening.</p>",https://www.news4jax.com/news/local/jacksonville/more-services-for-teens-among-crime-task-force-s-recommendations,2019-05-08T21:41:13Z,WJXT,"4 Broadcast Pl, Jacksonville, FL 32207, USA",FL,32207
285,Tired of seeing Nikki Fried's face on gas pumps? You may not be alone,"These ""inspected and approved for accuracy"" stickers affixed to gas pumps throughout the state prominently feature Agriculture Commissioner Nikki Fried, much to the chagrin of some.

PEMBROKE PARK, Fla. - The Republican-controlled Florida Legislature is apparently done looking at Agriculture Commissioner Nikki Fried.

Fried, the lone Democrat in the Florida Cabinet, has affixed a picture of her face to gas pumps throughout the state.

Every time the Florida Department of Agriculture and Consumer Services conducts a gas pump inspection, a certification sticker is affixed to it. Unlike her Republican predecessor Adam Putnam, who used the department's logo instead of his photograph, Fried is using her portrait to put a face with the name.

Max Flugrath, a spokesman for Fried, told Local10.com in an email that the new decal is intended to ""drive consumer awareness and gain attention around our consumer fraud resources, and it seems to be working.""

But not everyone is happy about it.

Evan Power, chairman of the Leon County Republican Party in Tallahassee, took to Twitter to blast the decal, writing Tuesday that it ""looks like an election ad.""

Great to see this reporting. I can’t believe the AG Commissioner’s office thought it was ok to go with what looks like an election ad https://t.co/978wc3PKJF — Evan Power (@EvanPower) May 7, 2019

Fried's smiling face may have even been the driving force behind Section 92 of a budget-implementation bill that requires the stickers to have ""only a combination of lettering, numbering, words or the department logo.""

The implementation bill takes effect July 1, which could force Fried's office to swap out the stickers.

Flugrath said at least 84,000 decals ""and counting"" have already been placed on gas pumps throughout the state.

""We're reviewing the implementing language to see if any changes may be needed for future decal revisions,"" Flugrath said.

Fried, 41, is an attorney from Fort Lauderdale. She narrowly defeated Republican nominee Matt Caldwell in the November election and is the first woman elected to the position.

Copyright 2019 by WPLG Local10.com - All rights reserved.",https://www.local10.com/news/politics/tired-of-seeing-nikki-frieds-face-on-gas-pumps-you-may-not-be-alone,2019-05-08T18:38:06Z,WPLG,"3401 W Hallandale Beach Blvd, Pembroke Park, FL 33023, USA",FL,33023
286,"DCPS officer, his stepfather face child sex charges involving same girl","JACKSONVILLE, Fla. - A police lieutenant with Duval County Public Schools who was arrested Tuesday is facing child sex charges for an incident involving a young girl, News4Jax has learned.

As if that wasn't disturbing enough, the Michigan Attorney General's Office said the man's stepfather is facing the same charges -- involving the same child.

Authorities did not release the child's exact age or her relationship to the two men.

Lt. Sean MacMaster, 45, is charged with two counts of criminal conduct with a child, which is a first-degree felony. He was taken into custody on the out-of-state arrest warrant at the Duval County School Police Department. He was set to go before a judge Wednesday afternoon.

MacMaster's stepfather, Larry Orr, who is a registered sex offender in Michigan, is facing the same charges. He was arraigned in Oakland County Superior Court on Thursday and is being held without bond.

A statement from a Duval County Public Schools spokesperson reads in part:

We have received notification that an employee with the Duval County School Police Department, Lt. Sean MacMaster, was arrested (Tuesday) morning on an out of state warrant. The charges are not related to the school district or any student in the district. However, the district is closely monitoring this situation. The individual is currently in custody. Should he be released from custody, he will not have any contact with students pending the outcome of an internal investigation.

It wasn't immediately clear which school MacMaster worked at.

A woman who was at the home of MacMaster's listed address told News4Jax, ""We don't have any comment.""

Copyright 2019 by WJXT News4Jax - All rights reserved.",https://www.news4jax.com/news/local/jacksonville/dcps-officer-his-stepfather-face-child-sex-charges-involving-same-girl,2019-05-08T18:17:57Z,WJXT,"4 Broadcast Pl, Jacksonville, FL 32207, USA",FL,32207
287,Inmates file class action lawsuit over Florida's use of solitary confinement,"Admire Harvard spent most of his adult life in solitary confinement at Florida State Prison.

Jac'Quann ""Admire"" Harvard, an inmate at Florida State Prison in Raiford, has filed a class action lawsuit against the Department of Corrections over its solitary confinement policies (Photo: Florida Department of Corrections)

And now she is suing to get out of the men's prison.

Harvard and five other inmates, including a minor, are the plaintiffs in a federal class action lawsuit against the Department of Corrections brought by the Southern Poverty Law Center, Florida Legal Services and the Florida Justice Institute. The lawsuit, announced at a news conference today, challenges the department’s use of solitary confinement as cruel and unusual punishment.

“At any given time there are close to 10,000 people locked away in solitary confinement in Florida’s prison system for months, even years, in cells smaller than a parking space,” SPLC Senior Supervising Attorney Shalini Goel Agarwal said in a news release.

The lawsuit claims that FDC knows about the damaging effects of solitary confinement but has not done enough to fix them. While they are 3 percent of the prison population, they make up 40 percent of the people receiving mental health treatment, the lawsuit said.

Solitary confinement is increasingly recognized as torture by medical and mental health professionals, the organizations said. And while other states are taking steps to reduce or eliminate solitary, Florida is an outlier. It has more than double the national average of its prison population in solitary, about 10 percent.

Solitary increases the risk of suicide, they said. From January 2013 to August 2018, FDC reported 46 of 80 inmates who committed suicide were in isolation and another 24 had previously been in solitary. And more than 60 percent of those in solitary are black in a state where only 16 percent of the population is black.

""Racial disparities plague Florida's criminal justice system,"" Agarwal said.

Harvard, the 28-year-old transgender black woman whose birth name is Jac’Quann Harvard, began her sentence at Florida State Prison in July 2009. She was diagnosed with schizoaffective disorder, gender dysphoria and hypertension and placed in solitary by prison staff two months later. They allegedly accused her of lying to get a high-calorie meal in the dining hall after being in prison for two months, the complaint said.

“Within her first three months of isolation, Defendants found her guilty of nine new disciplinary infractions, adding an additional 270 days in isolation,” said the complaint filed in U.S. District Court in Tallahassee. She was accused of fighting with a cellmate, yelling, kicking her door and disrespecting staff.

The prison prescribed her powerful mood stabilizers and anti-psychotic medications, noting that because of her mental illness she suffered from anxiety and impulsivity.

Over the last nine years she attempted suicide several times and suffers from depression, hallucinations and delusions, the complaint said. She was hospitalized more than 20 times for psychiatric reasons, and placed in a suicide watch cell more than 50 times. She cut or injured herself at least 40 times.

The prison cited her for 127 disciplinary infractions. “They have left her in a bare cell with nothing but her underwear for several days at a time as punishment,” the complaint said. She never received a personal visit, reading material other than religious texts, education or exercise outside of a cage, the complaint said.

Another plaintiff, a minor identified only as J.H., has been in custody since he was 14 and was placed in solitary at Suwannee Correctional Institution in Live Oak for 90 days when he was 16. Since his transfer to Florida State Prison in December, he has been kept separated from the rest of the population and rarely let out of his cell. He has been in the exercise cages once and the day room twice in the last five months.

Angel Meddler, a 21-year-old black woman with asthma, anxiety and mood disorders, has been in isolation for more than three years at Lowell Correctional Institution Annex in Ocala. She has been placed in a suicide watch cell 12 times. She is eligible to get her GED but cannot because she is in isolation, the complaint said.

Juan Espinosa, 58, is in isolation at the Reception and Medical Center in Lake Butler. He has been diagnosed with schizophrenia, major disruptive disorder and bipolar disorder and has hallucinations and mood swings. He tried to kill himself at least five times before he was placed in isolation. He also has tumors in his throat that makes swallowing difficult.

He’s been in and out of isolation since last June.

Jerome Burgess, 46, is black and uses a wheelchair. He’s been in isolation since September 2017. The cell where he is isolated for 22 hours a day is not big enough for him to use his wheelchair.

James W. Kendrick, Jr., is 39, black, has diabetes, high blood pressure and is obese. He was placed in maximum management last June and kept there through October after being accused of beating a corrections officer. He is isolated in a wing with inmates assigned to disciplinary confinement, where his out-of-cell exercise, visits, phone calls and reading materials are restricted.

“Depriving anyone of human contact exacerbates mental health conditions and leaves people unprepared to face life outside of prison, even though most will be returned to their communities,” said Christopher Jones, executive director of Florida Legal Services.

Contact Schweers at jschweers@gannett.com. Follow him on Twitter @jeffschweers.

Read or Share this story: https://www.tallahassee.com/story/news/local/state/2019/05/08/transgender-inmate-sues-fdc-over-solitary-confinement/1134061001/",http://rssfeeds.tallahassee.com/~/601738826/0/tallahassee/home~Inmates-file-class-action-lawsuit-over-Floridaaposs-use-of-solitary-confinement/,2019-05-08T11:11:53Z,Tallahassee Democrat,"277 N Magnolia Dr, Tallahassee, FL 32301, USA",FL,32301
288,Armed detention deputy accused in road rage incident in Florida Keys,"Jatavi Wendall Lee told deputies that he was running late for work at the Stock Island jail.

KEY LARGO, Fla. - A Monroe County detention deputy was arrested Tuesday after authorities said he drove erratically, nearly causing multiple collisions, and then berated one of the drivers while armed and in uniform.

Jatavi Wendall Lee, 35, of Miami, faces charges of reckless driving and obstructing a highway.

Adam Linhardt, a spokesman for the Monroe County Sheriff's Office, said the incident happened March 29 when Lee was driving along the Overseas Highway in Key Largo.

A motorist who witnessed Lee's reckless driving contacted the Monroe County Sheriff's Office and provided deputies with video of the incident from his dashboard camera, Linhardt said.

Witnesses told deputies that Lee was driving at high rate of speed and weaving in and out of lanes. Linhardt said Lee almost caused two collisions with his erratic maneuvers.

At one point, Lee, while driving an unmarked black car, illegally passed a white pickup truck, Linhardt said. After Lee passed the truck, he abruptly stopped, causing drivers behind him to slam on their brakes to avoid a crash, deputies said. Lee then got out of the car and shouted obscenities at the driver of the pickup truck, witnesses said.

Wearing a Sheriff's Office uniform and gun belt, Lee told the truck driver to “never do that again,” saying the truck driver didn't know where he was going, Lindhardt said.

The truck driver, a retired firefighter, said he did not report incident out of respect for law enforcement, but once he was contacted by deputies he corroborated the account of the man with the dashboard camera. The truck driver said Lee did not use any police lights during the stop. Linhardt added that as a detention deputy, Lee was not authorized to make traffic stops.

When questioned by deputies, Lee said he was running late for work at the Stock Island jail and admitted to driving erratically and stopping traffic.

At the time of the incident, Linhardt said Lee, who was hired as a detention deputy in 2017, was on probation in Miami-Dade County after he pleaded no contest to domestic battery and theft of a license plate tag in 2018.

According to Miami Gardens police, Lee slapped the mother of one of his children across the face when he ran into her and her new boyfriend at his child's day care center. He then followed the woman to a nearby gas station, where he stole the woman's license plate and threatened to shoot the couple, police said.

In 2009, Lee was accused of battery against the same woman.

The Monroe County Sheriff's Office has started the process to terminate Lee. He will have a hearing to determine whether he will be terminated on May 13. In the meantime, Lee has been placed on leave without pay and ordered to turn in his badge and uniform.

""I take these incidents very seriously,"" Sheriff Rick Ramsay said in a statement. ""I expect the highest level of professional conduct from Sheriff's Office staff. This type of behavior will never be tolerated under my leadership as reflected in the actions we have taken.""

Copyright 2019 by WPLG Local10.com - All rights reserved.",https://www.local10.com/news/florida/monroe-county/armed-detention-deputy-accused-in-road-rage-incident-in-florida-keys,2019-05-07T19:24:01Z,WPLG,"3401 W Hallandale Beach Blvd, Pembroke Park, FL 33023, USA",FL,33023
289,"Orlando woman arrested for threatening kids with gun, deputies say","- An Orlando woman has been arrested after police say she threatened a group of children with a loaded gun.

According to a police report from the Orange County Sheriff's Office, Christina Thomas, 42, was arrested Monday at a home on Picadilly Circus Court in Orlando.

The sheriff's office says that a group of children told them that a black female wearing a white shirt, blue jeans and a black backpack had threatened them with a gun. The children also reportedly told deputies that the woman made threats to shoot up the apartment complex ""like the 4th of July.""

One child claims to have seen the woman pull out a silver and black handgun and point it at them as they ran away. The kids then flagged someone down and called 911.

The deputy that responded to the scene came across Thomas sitting on a porch less than 10 feet from where the incident occurred and who matched the description the children gave authorities. The deputy made repeated requests to Thomas to come out from the porch area.

The report says that Thomas finally came to the sidewalk but refused commands. That's when Thomas was arrested.

The report states that the deputy found a silver and black handgun in Thomas' bag with ""a magazine loaded with 8 rounds of 380 caliber ammunition in the gun but no round in the chamber.""

Thomas is facing several charges including aggravated assault with a firearm, child abuse and resisting an officer without violence.",http://www.fox35orlando.com/home/orlando-woman-arrested-for-threatening-kids-with-gun-deputies-say,2019-05-07T16:09:05Z,FOX 35 ORLANDO,"35 Skyline Dr, Lake Mary, FL 32746, USA",FL,32746
292,Orange County man said stranger yelled anti-Semitic insults at him while he was landscaping,"ORANGE COUNTY, Fla. - An Orange County homeowner said a woman drove onto his private property causing damage to his landscaping while hurling anti-Semitic insults.

Jeff Gelman said the incident happened Saturday while he was having breakfast with his wife and believes the woman drove in through an unlocked gate.

“We looked out to window and we saw someone doing donuts in our backyard, right there,” Gelman said.

Gelman said he has never seen the woman before.

Orange County Sheriff's deputies identified the woman as Kristen Kelly. The 45-year-old Winter Garden woman is accused of verbally attacking the Gelmans at at one point trying to run them over with her Dodge SUV.

“She was yelling, go home Jew tell your neighbors that Jesus Christ is here and that I’m going to clean some dirty Jews,” Gelman said.

Gelman said he snapped pictures of the woman and her vehicle to help authorities catch her.

“We didn’t recognize her at all; never saw her in our lives.”

The Windermere father said things got worse when he and his wife tried approaching Kelly to ask her to get off their property.

“When she got out of the car she sprayed us with detergent and said ‘cleaning the dirty Jews,’” Gelman said.

Kelly is charged with aggravated assault and is being held at the Orange County jail.



Copyright 2019 by WKMG ClickOrlando - All rights reserved.",https://www.clickorlando.com/news/orange-county-man-said-stranger-yelled-anti-semitic-insults-at-him-while-he-was-landscaping,2019-05-07T03:04:43Z,WKMG,"4466 N John Young Pkwy, Orlando, FL 32804, USA",FL,32804
295,Florida woman pulls gator out of pants during traffic stop,,http://cbs12.com/news/local/florida-woman-pulls-gator-out-of-pants-during-traffic-stop,2019-05-07T00:57:17Z,WPEC,"1100 Fairfield Dr, West Palm Beach, FL 33407, USA",FL,33407
297,"Woman accused of vandalizing Windermere home, yelling anti-Semitic insults","Donuts in the front yard?That's what an Orange County man said a woman did over the weekend at his mega-mansion.The man said the woman made anti-Semitic comments while tearing up his yard. The homeowner, Jeff Gelman, said he has never seen the woman before.The home, near Windermere, is called the most expensive home in Central Florida, and is on the market for $28 million.Kristen Kelly, 45, of Winter Garden, is accused of driving a Dodge SUV, doing donuts in the yard, and yelling anti-Semitic insults.""Yelling out her window, 'Jews get out of here. Jews are dirty,'"" Gelman said.Gelman showed WESH 2 News around the house. He said on Saturday afternoon, the woman's SUV somehow got through his gates and on to his property.""I look outside and there was a car, driving through our yard, doing donuts,"" Gelman said.Gelman said he and his wife ran outside. He said the driver started chasing them with the SUV.Gelman also took pictures of the woman he said was driving the vehicle. ""Never. I've never seen this woman. It's unbelievable,"" he said.Gelman said the woman got out of the SUV with a bottle.""She came out with some cleaner, started spraying us, saying she was going to clean the Jews,"" he said.The Orange County Sheriff's Office said Kelly was captured a few blocks away, and now, she is charged with aggravated assault and burglary.

Donuts in the front yard?

That's what an Orange County man said a woman did over the weekend at his mega-mansion.

Advertisement

The man said the woman made anti-Semitic comments while tearing up his yard.

The homeowner, Jeff Gelman, said he has never seen the woman before.

The home, near Windermere, is called the most expensive home in Central Florida, and is on the market for $28 million.

Kristen Kelly, 45, of Winter Garden, is accused of driving a Dodge SUV, doing donuts in the yard, and yelling anti-Semitic insults.

""Yelling out her window, 'Jews get out of here. Jews are dirty,'"" Gelman said.

Gelman showed WESH 2 News around the house. He said on Saturday afternoon, the woman's SUV somehow got through his gates and on to his property.

""I look outside and there was a car, driving through our yard, doing donuts,"" Gelman said.

Gelman said he and his wife ran outside. He said the driver started chasing them with the SUV.

Gelman also took pictures of the woman he said was driving the vehicle.

""Never. I've never seen this woman. It's unbelievable,"" he said.

Gelman said the woman got out of the SUV with a bottle.

""She came out with some cleaner, started spraying us, saying she was going to clean the Jews,"" he said.

The Orange County Sheriff's Office said Kelly was captured a few blocks away, and now, she is charged with aggravated assault and burglary.

AlertMe",https://www.wesh.com/article/woman-accused-of-vandalizing-windermere-home-yelling-anti-semitic-insults/27378949,2019-05-06T21:54:00Z,WESH-TV,"1021 Wymore Rd, Winter Park, FL 32789, USA",FL,32789
298,Only in Florida: Woman pulls gator from pants during traffic stop,"CHARLOTTE COUNTY, Fla. - A Charlotte County deputy was surprised during a traffic stop Monday.

The sheriff's office said a woman pulled an alligator out of her pants during a traffic stop.

The deputy asked, ""Do you have anything else?"" before she pulled out the reptile.

It wasn't the only animal in the car.

Deputies said she also had 41 three-striped turtles in the vehicle.

The Florida Fish and Wildlife Conservation Commission responded to the scene.

Copyright 2019 by WKMG ClickOrlando - All rights reserved.",https://www.clickorlando.com/news/only-in-florida-woman-pulls-gator-from-pants-during-traffic-stop,2019-05-06T21:05:21Z,WKMG,"4466 N John Young Pkwy, Orlando, FL 32804, USA",FL,32804
